Date,Conductance,LocationIdentifier,HydrologicCondition,HydrologicEvent,,,,,,,,,,,,,,,,,,,,,ProjectIdentifier,ActivityConductingOrganizationText,ActivityCommentText,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultStatusIdentifier,ActivityStartTime/Time
1981-11-10,48,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:30:00
1982-06-16,28,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:25:00
1982-06-30,30,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:25:00
1982-07-26,95,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,15:20:00
1982-08-24,30,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:15:00
1982-09-22,40,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:50:00
1982-10-19,32,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:05:00
1982-11-08,55,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:40:00
1983-06-07,45,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:15:00
1983-06-22,40,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:00:00
1983-06-28,40,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:30:00
1983-07-07,45,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:50:00
1983-09-13,55,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,04:10:00
1983-10-12,35,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:45:00
1983-10-19,32,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:05:00
1983-11-08,55,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:40:00
1983-11-08,55,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:45:00
1984-05-23,,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:35:00
1984-06-04,,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:35:00
1984-06-26,54,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:10:00
1984-07-24,,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:30:00
1984-08-23,33,USGS-09072550,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:10:00
1979-11-07,80,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,16:00:00
1979-12-20,47,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,12:00:00
1980-02-06,68,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,10:35:00
1980-03-10,80,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,13:25:00
1980-04-14,90,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,13:35:00
1980-06-05,50,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,11:45:00
1980-06-19,25,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,10:45:00
1980-07-16,32,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,16:50:00
1980-08-25,60,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,14:25:00
1980-10-08,70,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,16:05:00
1980-11-19,57,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,16:05:00
1981-01-08,80,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,09:45:00
1981-02-19,75,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,10:05:00
1981-04-08,80,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,08:40:00
1981-04-30,48,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,09:15:00
1981-05-12,44,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,14:00:00
1981-06-10,65,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,13:05:00
1981-08-18,67,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,Unknown,Historical,14:00:00
1981-10-14,80,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:00:00
1981-11-25,90,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:30:00
1982-01-28,90,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:05:00
1982-03-30,95,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:35:00
1982-05-18,60,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:50:00
1982-06-14,35,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:35:00
1982-07-27,200,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:25:00
1982-08-24,60,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:15:00
1982-09-22,55,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:15:00
1982-10-19,45,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:30:00
1982-11-17,75,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:15:00
1983-01-03,40,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:15:00
1983-02-08,65,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:25:00
1983-03-29,70,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:35:00
1983-05-11,55,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:30:00
1983-06-07,105,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:45:00
1983-06-22,30,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:50:00
1983-06-29,30,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:40:00
1983-08-10,45,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:10:00
1983-09-13,85,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:00:00
1983-10-12,60,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,15:20:00
1984-01-30,81,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,16:00:00
1984-04-10,86,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:10:00
1984-05-22,64,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,17:40:00
1984-06-26,100,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:50:00
1984-07-24,250,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:40:00
1984-08-23,48,USGS-09073300,Not determined,Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:20:00
1985-04-08,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:00:00
1985-10-01,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:10:00
1985-10-29,64,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:00:00
1986-01-14,42,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:00:00
1986-02-25,73,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:00:00
1986-04-08,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,11:00:00
1986-07-08,85,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,15:45:00
1986-08-27,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:45:00
1986-12-09,55,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:12:00
1987-01-13,60,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:10:00
1987-03-03,73,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:10:00
1987-04-15,68,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:50:00
1987-05-05,57,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:17:00
1987-06-03,92,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:30:00
1987-06-30,120,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:32:00
1987-07-28,50,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:50:00
1987-08-25,45,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:39:00
1987-10-06,57,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,10:45:00
1987-11-04,100,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:05:00
1987-12-09,87,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:40:00
1988-02-01,95,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:55:00
1988-02-24,105,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:15:00
1988-04-06,102,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1988-05-04,65,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:00:00
1988-05-25,50,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:20:00
1988-06-17,40,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:55:00
1988-07-13,55,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:20:00
1988-08-10,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1988-09-14,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1988-10-05,75,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1988-11-16,80,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1988-12-14,95,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1989-03-01,90,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:30:00
1989-03-29,80,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1989-04-26,50,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1989-05-24,40,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:50:00
1989-06-07,50,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1989-06-21,55,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:05:00
1989-07-19,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:50:00
1989-08-16,75,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1989-10-04,110,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1989-10-31,65,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,13:20:00
1989-12-06,60,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:20:00
1990-01-24,65,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:25:00
1990-03-07,65,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:30:00
1990-04-11,55,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:50:00
1990-05-09,45,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:05:00
1990-06-06,25,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:40:00
1990-06-14,30,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:25:00
1990-07-11,35,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1990-08-08,50,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:55:00
1990-10-02,65,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,14:45:00
1990-11-07,55,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:00:00
1990-12-19,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:20:00
1991-02-13,75,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:25:00
1991-03-20,70,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:40:00
1991-04-24,60,USGS-09073300,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:35:00
1991-05-22,35,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:05:00
1991-06-12,20,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:40:00
1991-07-10,35,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,12:40:00
1991-08-14,45,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:20:00
1991-10-02,50,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:45:00
1991-11-06,55,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,07:50:00
1991-12-11,78,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:55:00
1992-01-29,92,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,09:30:00
1992-03-04,81,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,08:20:00
1992-04-07,72,USGS-09073300,"Stable, normal stage",Routine sample,USGS,Unknown,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,USGS,USGS,Unknown,Historical,15:30:00
