OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-391239106501900,ROARING FORK R BLW ASPEN,Stream,,140100040602,,,,,39.21082006,-106.8392062,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391345106550000,BRUSH CR BLW SNOWMASS NR ASPEN CO,Stream,,140100040602,,,,,39.2291526,-106.9172644,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391531106525200,ROARING FORK R BLW ASPEN METRO PLAZA BLW ASPEN CO.,Stream,,140100040602,300,sq mi,300,sq mi,39.2585967,-106.8817076,24000,1,seconds,Interpolated from MAP.,NAD83,7350,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391740106550701,ROARING FORK RIVER BL WOODY CREEK,Stream,,140100040603,,,,,39.29442965,-106.919209,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-391755106542401,GERBAZ DAK,Well,,140100040603,,,,,39.29859635,-106.9072642,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392032107001900,ROARING FORK R. BLW SNOWMASS,Stream,,140100040603,,,,,39.3422067,-107.0058789,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392110107011300,"ROARING FORK RIVER NEAR BASALT, CO",Stream,,140100040603,,,,,39.35277778,-107.0202778,24000,1,seconds,Interpolated from MAP.,NAD83,6660,feet,10,feet,Interpolated from topographic map.,NAVD88,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392158107020000,SC00808607DCD,Stream,,140100040603,,,,,39.3660953,-107.0339353,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09081000,"ROARING FORK RIVER NEAR EMMA, CO",Stream,,140100040802,859,sq mi,,,39.37331729,-107.0839367,25000,1,seconds,Interpolated from MAP.,NAD83,6470,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392155107050800,SC00808710DDD POSIC CERISE,Well,,140100040802,,,,,39.36526177,-107.086159,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,Permian-Pennsylvanian Systems,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392233107050100,SC00808711BBB COLO. STATE HIGHWAY DEPT.,Well,,140100040802,,,,,39.37581727,-107.0842145,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,Valley-Fill Deposits,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392337107052200,SC00708734DAB,Stream,,140100040802,,,,,39.3935949,-107.0900481,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392350107111400,SC00708835DCB,Well,,140100040802,,,,,39.39720558,-107.1878287,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,Valley-Fill Deposits,,,30,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392404107070900,SC00708733CBC,Well,,140100040802,,,,,39.40109475,-107.1197712,,1,minutes,Interpolated from MAP.,NAD83,6366.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,Valley-Fill Deposits,,,41,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392428107064500,SC00708733ABC,Spring,,140100040802,,,,,39.4077614,-107.1131044,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392447107091000,SC00708730CDA  L E HUGHES,Well,,140100040802,,,,,39.41303897,-107.1533834,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,Pennsylvanian System,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392449107091800,SC00708730CDB  HAROLD BLUE,Spring,,140100040802,,,,,39.4135945,-107.1556057,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,"Alluvium, Flood Plain",,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392449107111400,SC00708826DCA,Stream,,140100040802,,,,,39.41359437,-107.1878289,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392453107131100,SC00708828DAD,Stream,,140100040802,,,,,39.4147053,-107.2203298,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392502107090600,SC00708730CAA JEAN BLUE,Spring,,140100040802,,,,,39.4172056,-107.1522723,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,097,,"Alluvium, Flood Plain",,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392503107122400,SC00708827DAA,Well,,140100040802,,,,,39.41748315,-107.2072739,,1,minutes,Interpolated from MAP.,NAD83,6240.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,Maroon Formation,,,110,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392522107052900,SC00708727ABA,Well,,140100040802,,,,,39.4227614,-107.0919928,,1,minutes,Interpolated from MAP.,NAD83,7300.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,037,,,,19670101,400,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392555107042700,SC00708723ACC,Spring,,140100040802,,,,,39.4319281,-107.0747701,,1,minutes,Interpolated from MAP.,NAD83,7480.00,feet,15,feet,Unknown.,NGVD29,US,08,037,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392557107085100,SC00708719ACD  FRANK PENNIG,Well,,140100040802,,,,,39.4324833,-107.1481056,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,037,,Quaternary System,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-09085000,"ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.",Stream,,140100041003,1453,sq mi,,,39.54359307,-107.3294984,,1,seconds,Interpolated from MAP.,NAD83,5720.73,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392535107224600,"SUNLIGHT PEAK SNOW SITE, CO",Land,,140100041003,,,,,39.42638889,-107.3794444,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10581,feet,50,feet,Global Positioning System.,NAVD88,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392747107154201,SC00708807BDC1,Spring,,140100041003,,,,,39.46303817,-107.2622757,24000,5,seconds,Interpolated from MAP.,NAD83,6200.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392814107145100,SC00708805CDD,Well,,140100041003,,,,,39.4705382,-107.248109,,1,minutes,Interpolated from MAP.,NAD83,6815.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,,,19740101,115,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392826107160800,SC00708901ADD,Well,,140100041003,,,,,39.47387139,-107.269498,,1,seconds,Interpolated from MAP.,NAD83,6010.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,08,045,,Maroon Formation,,19640101,152,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392828107161301,SC00708901ADB,Well,,140100041003,,,,,39.4744269,-107.2708869,,1,seconds,Interpolated from MAP.,NAD83,6000.00,feet,5.,feet,Interpolated from topographic map.,NGVD29,US,08,045,,Pennsylvanian System,,,112,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392844107170900,SC00608936CCC,Stream,,140100041003,,,,,39.4788712,-107.2864425,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392847107171100,ROARING FORK R. BL. CATTLE CK. NR. GLENWOOD SP. CO,Stream,,140100041003,1371,sq mi,1371,sq mi,39.47970456,-107.286998,24000,1,seconds,Interpolated from MAP.,NAD83,5900,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,045,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-392946107182100,SC00608927DDC,Stream,,140100041003,,,,,39.4960932,-107.3064426,,1,minutes,Interpolated from MAP.,NAD83,,,,,,,US,08,045,,,,,,,,,NWIS
